scenario,engine,total_return,max_drawdown,mar,n_tp,n_stopouts,n_rebuilds,n_consolidations,final_equity
sideways,static,0.017939,0.007369,2.4345,24,0,1,0,10179.39
sideways,dynamic,0.055964,0.021812,2.5658,37,0,7,2,10559.64
uptrend,static,0.012717,0.007998,1.5900,15,0,1,0,10127.17
uptrend,dynamic,0.045108,0.015473,2.9153,38,0,30,2,10451.08
downtrend,static,-0.153439,0.156197,-0.9823,0,0,1,0,8465.61
downtrend,dynamic,-0.088540,0.102325,-0.8653,10,33,14,1,9114.60
crash,static,-0.047461,0.099997,-0.4746,19,0,1,0,9525.39
crash,dynamic,0.002797,0.049616,0.0564,27,15,14,4,10027.97
regime_switch,static,0.024518,0.010052,2.4392,28,0,1,0,10245.18
regime_switch,dynamic,-0.011782,0.042102,-0.2798,23,5,25,4,9882.18
high_vol,static,-0.020814,0.032313,-0.6441,1,0,1,0,9791.86
high_vol,dynamic,0.001564,0.030712,0.0509,21,9,11,1,10015.64
