fold,test_start,test_end,dynamic_return,dynamic_maxdd,dynamic_cvar5,static_return,static_maxdd,best_params
0,250,310,0.047994,0.019840,-0.009115,0.060711,0.010537,"{'levels': 7, 'atr_mult': 0.814, 'risk_per_zone': 0.066, 'stop_mult': 1.967, 'shift_trigger': 1.975, 'anomaly_z': 2.799, 'consolidation_scale': 0.931, 'cooldown_bars': 54, 'tp_mult': 1.132, 'trend_k': 3.466, 'regime_m_threshold': 0.682, 'regime_vol_hi': 1.774, 'hv_risk_scale': 0.351, 'hv_spacing_scale': 1.5, 'up_risk_scale': 1.395}"
1,310,370,0.007683,0.000372,-0.000186,0.007683,0.000372,"{'levels': 3, 'atr_mult': 2.282, 'risk_per_zone': 0.075, 'stop_mult': 1.74, 'shift_trigger': 2.714, 'anomaly_z': 3.651, 'consolidation_scale': 0.972, 'cooldown_bars': 61, 'tp_mult': 1.16, 'trend_k': 4.988, 'regime_m_threshold': 0.25, 'regime_vol_hi': 1.678, 'hv_risk_scale': 0.415, 'hv_spacing_scale': 1.375, 'up_risk_scale': 1.053}"
2,370,430,0.014873,0.003340,-0.001810,0.007390,0.002645,"{'levels': 5, 'atr_mult': 1.457, 'risk_per_zone': 0.069, 'stop_mult': 0.638, 'shift_trigger': 2.0, 'anomaly_z': 3.821, 'consolidation_scale': 0.932, 'cooldown_bars': 4, 'tp_mult': 1.267, 'trend_k': 3.945, 'regime_m_threshold': 0.65, 'regime_vol_hi': 1.205, 'hv_risk_scale': 0.603, 'hv_spacing_scale': 1.669, 'up_risk_scale': 1.138}"
3,430,490,0.009572,0.001849,-0.000962,0.000000,0.000000,"{'levels': 6, 'atr_mult': 1.382, 'risk_per_zone': 0.064, 'stop_mult': 1.554, 'shift_trigger': 1.46, 'anomaly_z': 3.266, 'consolidation_scale': 1.077, 'cooldown_bars': 46, 'tp_mult': 1.809, 'trend_k': 3.465, 'regime_m_threshold': 0.921, 'regime_vol_hi': 1.765, 'hv_risk_scale': 0.336, 'hv_spacing_scale': 1.38, 'up_risk_scale': 0.832}"
4,490,550,0.030315,0.012021,-0.006680,0.023459,0.005467,"{'levels': 4, 'atr_mult': 1.427, 'risk_per_zone': 0.069, 'stop_mult': 1.938, 'shift_trigger': 0.591, 'anomaly_z': 3.43, 'consolidation_scale': 0.939, 'cooldown_bars': 57, 'tp_mult': 0.807, 'trend_k': 4.444, 'regime_m_threshold': 0.63, 'regime_vol_hi': 1.545, 'hv_risk_scale': 0.638, 'hv_spacing_scale': 1.674, 'up_risk_scale': 1.467}"
5,550,610,0.012302,0.015231,-0.006136,0.000000,0.000000,"{'levels': 3, 'atr_mult': 1.607, 'risk_per_zone': 0.077, 'stop_mult': 1.253, 'shift_trigger': 1.893, 'anomaly_z': 3.515, 'consolidation_scale': 1.197, 'cooldown_bars': 64, 'tp_mult': 1.241, 'trend_k': 1.899, 'regime_m_threshold': 0.909, 'regime_vol_hi': 1.45, 'hv_risk_scale': 0.972, 'hv_spacing_scale': 1.139, 'up_risk_scale': 1.427}"
6,610,670,0.005090,0.001995,-0.000675,0.000000,0.000000,"{'levels': 9, 'atr_mult': 0.835, 'risk_per_zone': 0.044, 'stop_mult': 1.487, 'shift_trigger': 0.744, 'anomaly_z': 3.226, 'consolidation_scale': 1.358, 'cooldown_bars': 45, 'tp_mult': 1.388, 'trend_k': 5.454, 'regime_m_threshold': 0.61, 'regime_vol_hi': 1.501, 'hv_risk_scale': 0.536, 'hv_spacing_scale': 1.776, 'up_risk_scale': 1.076}"
7,670,730,0.014045,0.020741,-0.010371,0.001622,0.000000,"{'levels': 5, 'atr_mult': 1.396, 'risk_per_zone': 0.03, 'stop_mult': 0.595, 'shift_trigger': 1.664, 'anomaly_z': 2.536, 'consolidation_scale': 1.317, 'cooldown_bars': 74, 'tp_mult': 1.264, 'trend_k': 3.433, 'regime_m_threshold': 0.605, 'regime_vol_hi': 1.153, 'hv_risk_scale': 0.387, 'hv_spacing_scale': 1.885, 'up_risk_scale': 1.179}"
8,730,790,0.004229,0.017265,-0.008720,0.004229,0.017265,"{'levels': 7, 'atr_mult': 1.309, 'risk_per_zone': 0.062, 'stop_mult': 1.202, 'shift_trigger': 2.73, 'anomaly_z': 3.754, 'consolidation_scale': 1.176, 'cooldown_bars': 46, 'tp_mult': 2.321, 'trend_k': 2.639, 'regime_m_threshold': 0.727, 'regime_vol_hi': 1.625, 'hv_risk_scale': 0.73, 'hv_spacing_scale': 1.592, 'up_risk_scale': 1.31}"
9,790,850,-0.000310,0.001815,-0.000856,-0.000310,0.001815,"{'levels': 8, 'atr_mult': 2.502, 'risk_per_zone': 0.032, 'stop_mult': 1.885, 'shift_trigger': 2.448, 'anomaly_z': 2.765, 'consolidation_scale': 1.239, 'cooldown_bars': 21, 'tp_mult': 1.036, 'trend_k': 3.723, 'regime_m_threshold': 0.411, 'regime_vol_hi': 1.68, 'hv_risk_scale': 0.555, 'hv_spacing_scale': 1.977, 'up_risk_scale': 1.123}"
